Level,Frequent_itemset,Frequent_item_set_seen_in,Yes_case_count,No_case_count,Total,Yes_percentage
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_5,both,206.3,639.9,846.2,24.385
2,zone=220 && zone_demand_popularity=POPULARITY_INDEX_2,both,67.0,208.0,275.0,24.364
2,pickUpHourOfDay=VERYLATE && source=ios,both,279.0,889.0,1168.0,23.887
2,city=Delhi NCR && pickUpHourOfDay=LATENIGHT,yes,56.0,179.4,235.4,23.787
2,city=Mumbai && zone_demand_popularity=POPULARITY_INDEX_5,both,168.0,542.0,710.0,23.662
2,booking_type=one_way_trip && city=Delhi NCR,both,187.4,615.3,802.7,23.349
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_5,both,168.8,555.8,724.6,23.298
2,city=Hyderabad && pickUpHourOfDay=VERYLATE,yes,54.0,179.4,233.4,23.134
2,pickUpHourOfDay=LATENIGHT && zone_demand_popularity=POPULARITY_INDEX_2,both,63.0,210.0,273.0,23.077
2,estimated_usage_bins=GT_1_LTE_2_HOURS && zone_demand_popularity=POPULARITY_INDEX_5,both,138.0,463.0,601.0,22.962
2,pickUpHourOfDay=EVENING && zone_demand_popularity=POPULARITY_INDEX_5,both,129.0,433.0,562.0,22.954
2,dayType=NORMAL_WEEKDAY && zone=221,yes,52.8,179.4,232.2,22.743
2,pickUpHourOfDay=VERYLATE && zone=219,both,75.0,256.0,331.0,22.659
2,sla=Scheduled && zone=141,both,108.4,377.5,485.8,22.302
2,booking_type=one_way_trip && zone=221,yes,51.1,179.4,230.5,22.172
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_3,both,105.0,375.0,480.0,21.875
2,source=android && zone_demand_popularity=POPULARITY_INDEX_5,both,314.9,1125.0,1439.9,21.867
2,pickUpHourOfDay=VERYLATE && sla=Scheduled,both,475.3,1719.6,2195.0,21.656
2,dayType=WEEKEND && zone=219,both,95.0,344.0,439.0,21.640
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_5,both,176.0,641.0,817.0,21.542
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_5,both,79.0,291.0,370.0,21.351
2,dayType=WEEKEND && pickUpHourOfDay=LATENIGHT,both,118.0,438.0,556.0,21.223
2,pickUpHourOfDay=VERYLATE && source=android,both,217.3,810.2,1027.4,21.147
2,booking_type=round_trip && city=Pune,yes,48.0,179.4,227.4,21.106
2,booking_type=one_way_trip && pickUpHourOfDay=VERYLATE,both,456.2,1713.3,2169.5,21.030
2,city=Mumbai && pickUpHourOfDay=VERYLATE,both,166.0,625.0,791.0,20.986
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=LATENIGHT,both,48.0,181.0,229.0,20.961
2,zone=248 && zone_demand_popularity=POPULARITY_INDEX_1,both,79.0,305.0,384.0,20.573
2,city=Delhi NCR && estimated_usage_bins=LTE_1_HOUR,both,132.8,514.0,646.8,20.528
2,booking_type=one_way_trip && dayType=WEEKEND,both,607.7,2368.3,2976.0,20.420
2,city=Pune && pickUpHourOfDay=EVENING,yes,46.0,179.4,225.4,20.406
2,estimated_usage_bins=LTE_1_HOUR && pickUpHourOfDay=VERYLATE,both,383.2,1500.4,1883.6,20.342
2,estimated_usage_bins=LTE_1_HOUR && zone=221,yes,45.5,179.4,224.9,20.238
2,booking_type=one_way_trip && zone=248,yes,45.4,179.4,224.9,20.206
2,city=Pune && dayType=WEEKEND,yes,45.0,179.4,224.4,20.051
2,sla=Scheduled && zone=220,both,55.9,223.7,279.6,20.000
2,dayType=WEEKEND && estimated_usage_bins=LTE_1_HOUR,both,515.9,2067.6,2583.5,19.971
2,source=android && zone=220,yes,44.2,179.4,223.6,19.762
2,pickUpHourOfDay=LATENIGHT && source=android,both,167.6,681.3,848.8,19.740
2,pickUpHourOfDay=LATENIGHT && sla=Scheduled,both,335.5,1401.6,1737.1,19.316
2,estimated_usage_bins=LTE_1_HOUR && pickUpHourOfDay=LATENIGHT,both,267.5,1121.0,1388.5,19.262
2,booking_type=round_trip && zone_demand_popularity=POPULARITY_INDEX_5,both,175.0,742.0,917.0,19.084
2,booking_type=one_way_trip && pickUpHourOfDay=LATENIGHT,both,312.4,1344.1,1656.5,18.857
2,booking_type=one_way_trip && zone=220,yes,41.6,179.4,221.1,18.839
2,pickUpHourOfDay=LATENIGHT && source=ios,both,159.0,687.0,846.0,18.794
2,pickUpHourOfDay=NIGHT && zone_demand_popularity=POPULARITY_INDEX_5,both,52.0,225.0,277.0,18.773
2,city=Bangalore && pickUpHourOfDay=VERYLATE,both,191.4,834.6,1026.0,18.659
2,estimated_usage_bins=GT_6_LTE_8_HOURS && zone_demand_popularity=POPULARITY_INDEX_5,yes,41.0,179.4,220.4,18.601
2,zone=504 && zone_demand_popularity=POPULARITY_INDEX_2,yes,41.0,179.4,220.4,18.601
2,city=Bangalore && zone=508,yes,40.9,179.4,220.3,18.561
2,booking_type=one_way_trip && city=Hyderabad,both,200.7,882.2,1082.9,18.531
2,sla=Scheduled && zone_demand_popularity=POPULARITY_INDEX_5,both,475.3,2100.6,2576.0,18.453
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_4,both,240.0,1062.0,1302.0,18.433
2,zone=508 && zone_demand_popularity=POPULARITY_INDEX_3,yes,40.0,179.4,219.4,18.230
2,city=Bangalore && pickUpHourOfDay=LATENIGHT,both,146.8,659.8,806.7,18.203
2,estimated_usage_bins=LTE_1_HOUR && pickUpHourOfDay=EARLY,both,134.7,607.0,741.7,18.159
2,booking_type=one_way_trip && city=Pune,yes,39.8,179.4,219.2,18.138
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_4,both,310.5,1406.6,1717.1,18.082
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_2,both,275.0,1246.2,1521.3,18.080
2,booking_type=one_way_trip && zone=141,both,68.2,310.5,378.6,18.000
2,dayType=WEEKEND && source=ios,both,429.0,1973.0,2402.0,17.860
2,city=Bangalore && zone=248,both,65.1,299.3,364.3,17.857
2,city=Hyderabad && estimated_usage_bins=LTE_1_HOUR,both,191.6,883.9,1075.5,17.813
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_2,both,301.0,1389.5,1690.6,17.805
2,dayType=WEEKEND && estimated_usage_bins=GT_1_LTE_2_HOURS,both,171.0,793.0,964.0,17.739
2,source=android && zone=221,yes,38.7,179.4,218.1,17.730
2,sla=Scheduled && zone=399,yes,38.4,179.4,217.9,17.647
2,sla=Scheduled && zone=75,yes,38.4,179.4,217.9,17.647
2,city=Hyderabad && zone_demand_popularity=POPULARITY_INDEX_4,both,88.0,412.0,500.0,17.600
2,dayType=FRIDAY && estimated_usage_bins=GT_1_LTE_2_HOURS,both,88.0,414.0,502.0,17.530
2,city=Mumbai && zone_demand_popularity=POPULARITY_INDEX_4,both,160.0,757.0,917.0,17.448
2,dayType=NORMAL_WEEKDAY && zone_demand_popularity=POPULARITY_INDEX_5,both,269.7,1284.6,1554.4,17.354
2,dayType=WEEKEND && source=android,both,537.7,2570.5,3108.1,17.299
2,pickUpHourOfDay=LATENIGHT && zone_demand_popularity=POPULARITY_INDEX_3,both,62.0,298.0,360.0,17.222
2,booking_type=one_way_trip && dayType=FRIDAY,both,259.4,1247.6,1506.9,17.211
2,city=Bangalore && zone=505,yes,37.2,179.4,216.6,17.163
2,booking_type=2hr && source=android,both,44.2,213.6,257.8,17.143
2,city=Pune && zone_demand_popularity=POPULARITY_INDEX_4,yes,37.0,179.4,216.4,17.096
2,estimated_usage_bins=LTE_1_HOUR && zone=141,both,55.0,267.5,322.5,17.059
2,booking_type=outstation && source=android,both,49.7,243.1,292.8,16.981
2,booking_type=one_way_trip && pickUpHourOfDay=EARLY,both,132.5,655.0,787.5,16.827
2,city=Hyderabad && dayType=FRIDAY,both,73.0,362.0,435.0,16.782
2,dayType=FRIDAY && estimated_usage_bins=LTE_1_HOUR,both,212.4,1054.7,1267.1,16.766
2,estimated_usage_bins=LTE_1_HOUR && zone=220,yes,36.0,179.4,215.5,16.727
2,estimated_usage_bins=LTE_1_HOUR && zone=248,yes,36.0,179.4,215.5,16.727
2,source=ios && zone=248,yes,36.0,179.4,215.4,16.711
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_4,both,248.5,1242.4,1490.9,16.667
2,city=Mumbai && dayType=WEEKEND,both,245.0,1229.0,1474.0,16.621
2,city=Delhi NCR && dayType=WEEKEND,both,114.0,574.0,688.0,16.570
2,booking_type=one_way_trip && sla=Scheduled,both,1454.0,7336.5,8790.5,16.541
2,estimated_usage_bins=LTE_1_HOUR && sla=Scheduled,both,1226.8,6225.0,7451.8,16.463
2,city=Bangalore && zone=504,yes,35.3,179.4,214.7,16.446
2,estimated_usage_bins=LTE_1_HOUR && pickUpHourOfDay=MORNING,both,106.2,544.4,650.6,16.327
2,city=Mumbai && zone=399,yes,35.0,179.4,214.4,16.323
2,estimated_usage_bins=GT_8_HOURS && zone_demand_popularity=POPULARITY_INDEX_5,yes,35.0,179.4,214.4,16.323
2,source=ios && zone=221,yes,35.0,179.4,214.4,16.323
2,zone=399 && zone_demand_popularity=POPULARITY_INDEX_4,yes,35.0,179.4,214.4,16.323
2,booking_type=one_way_trip && estimated_usage_bins=GT_1_LTE_2_HOURS,both,212.0,1088.5,1300.6,16.303
2,sla=Scheduled && zone=248,both,62.9,325.1,388.0,16.216
2,booking_type=one_way_trip && source=android,both,751.6,3924.4,4676.0,16.073
2,dayType=WEEKEND && sla=Scheduled,both,943.7,4931.7,5875.5,16.062
2,estimated_usage_bins=LTE_1_HOUR && source=android,both,715.1,3744.4,4459.5,16.036
2,city=Delhi NCR && zone_demand_popularity=POPULARITY_INDEX_4,both,92.0,483.0,575.0,16.000
2,estimated_usage_bins=GT_1_LTE_2_HOURS && zone_demand_popularity=POPULARITY_INDEX_4,both,124.0,651.0,775.0,16.000
2,city=Pune && estimated_usage_bins=LTE_1_HOUR,yes,34.1,179.4,213.6,15.987
2,city=Mumbai && estimated_usage_bins=GT_1_LTE_2_HOURS,both,129.0,679.0,808.0,15.965
2,city=Hyderabad && dayType=WEEKEND,both,125.0,659.0,784.0,15.944
2,city=Pune && estimated_usage_bins=GT_1_LTE_2_HOURS,yes,34.0,179.4,213.4,15.931
2,dayType=NORMAL_WEEKDAY && zone=220,yes,34.0,179.4,213.4,15.913
2,booking_type=one_way_trip && estimated_usage_bins=LTE_1_HOUR,both,1172.3,6221.7,7393.9,15.854
2,source=ios && zone_demand_popularity=POPULARITY_INDEX_5,both,142.0,754.0,896.0,15.848
2,booking_type=2hr && sla=Scheduled,both,55.9,297.1,353.0,15.842
2,city=Delhi NCR && zone_demand_popularity=POPULARITY_INDEX_5,both,128.0,686.0,814.0,15.725
2,city=Hyderabad && sla=Scheduled,both,381.0,2044.7,2425.7,15.706
2,booking_type=round_trip && city=Mumbai,both,147.0,790.0,937.0,15.688
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_1,both,151.0,813.0,964.0,15.664
2,city=Bangalore && estimated_usage_bins=LTE_1_HOUR,both,601.3,3247.4,3848.7,15.623
2,estimated_usage_bins=GT_8_HOURS && source=android,both,70.0,379.3,449.3,15.574
2,city=Pune && source=ios,yes,33.0,179.4,212.4,15.535
2,zone=505 && zone_demand_popularity=POPULARITY_INDEX_3,yes,33.0,179.4,212.4,15.535
2,dayType=WEEKEND && pickUpHourOfDay=EVENING,both,158.0,863.0,1021.0,15.475
2,city=Bangalore && dayType=WEEKEND,both,401.5,2193.3,2594.8,15.473
2,estimated_usage_bins=GT_1_LTE_2_HOURS && sla=Scheduled,both,468.4,2558.5,3026.9,15.473
2,booking_type=one_way_trip && city=Bangalore,both,660.7,3610.2,4270.9,15.470
2,dayType=FRIDAY && sla=Scheduled,both,457.9,2502.6,2960.4,15.466
2,city=Chennai && dayType=WEEKEND,both,77.0,421.0,498.0,15.462
2,booking_type=one_way_trip && source=ios,both,630.4,3449.3,4079.7,15.452
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_2,both,192.0,1053.0,1245.0,15.422
2,city=Mumbai && estimated_usage_bins=GT_3_LTE_4_HOURS,both,96.0,529.0,625.0,15.360
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_4,both,90.0,497.0,587.0,15.332
2,dayType=WEEKEND && pickUpHourOfDay=AFTERNOON,both,142.0,785.0,927.0,15.318
2,booking_type=one_way_trip && pickUpHourOfDay=MORNING,both,117.4,655.0,772.4,15.196
2,booking_type=8hr && city=Mumbai,both,36.0,201.0,237.0,15.190
2,city=Mumbai && estimated_usage_bins=GT_6_LTE_8_HOURS,both,46.0,257.0,303.0,15.182
2,source=ios && zone_demand_popularity=POPULARITY_INDEX_4,both,223.0,1247.0,1470.0,15.170
2,city=Bangalore && zone=207,both,33.5,187.7,221.2,15.126
2,pickUpHourOfDay=AFTERNOON && zone_demand_popularity=POPULARITY_INDEX_5,both,82.0,464.0,546.0,15.018
2,sla=Scheduled && zone=250,yes,31.5,179.4,210.9,14.917
2,sla=Scheduled && zone=508,yes,31.5,179.4,210.9,14.917
2,source=android && zone_demand_popularity=POPULARITY_INDEX_4,both,324.1,1852.4,2176.4,14.890
2,booking_type=2hr && estimated_usage_bins=GT_1_LTE_2_HOURS,both,55.0,315.0,370.0,14.865
2,source=android && zone=505,yes,31.3,179.4,210.7,14.855
2,city=Pune && pickUpHourOfDay=AFTERNOON,yes,31.0,179.4,210.4,14.732
2,city=Pune && zone=194,yes,31.0,179.4,210.4,14.732
2,dayType=FRIDAY && pickUpHourOfDay=VERYLATE,yes,31.0,179.4,210.4,14.732
2,zone=194 && zone_demand_popularity=POPULARITY_INDEX_4,yes,31.0,179.4,210.4,14.732
2,pickUpHourOfDay=EARLY && zone_demand_popularity=POPULARITY_INDEX_5,both,57.0,331.0,388.0,14.691
2,estimated_usage_bins=LTE_1_HOUR && source=ios,both,479.9,2792.2,3272.1,14.667
2,estimated_usage_bins=GT_3_LTE_4_HOURS && zone_demand_popularity=POPULARITY_INDEX_5,both,57.0,332.0,389.0,14.653
2,dayType=FRIDAY && pickUpHourOfDay=NIGHT,both,84.0,490.0,574.0,14.634
2,estimated_usage_bins=LTE_1_HOUR && zone=219,both,125.2,730.3,855.5,14.634
2,estimated_usage_bins=GT_1_LTE_2_HOURS && source=android,both,246.7,1441.7,1688.5,14.613
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_1,both,227.0,1336.0,1563.0,14.523
2,dayType=WEEKEND && estimated_usage_bins=GT_2_LTE_3_HOURS,both,64.0,377.0,441.0,14.512
2,dayType=NORMAL_WEEKDAY && pickUpHourOfDay=VERYLATE,both,107.5,633.8,741.3,14.504
2,city=Mumbai && pickUpHourOfDay=EVENING,both,107.0,635.0,742.0,14.420
2,zone=207 && zone_demand_popularity=POPULARITY_INDEX_2,both,33.0,197.0,230.0,14.348
2,city=Delhi NCR && estimated_usage_bins=GT_1_LTE_2_HOURS,both,76.0,454.0,530.0,14.340
2,city=Mumbai && zone=289,both,47.0,281.0,328.0,14.329
2,zone=289 && zone_demand_popularity=POPULARITY_INDEX_1,both,47.0,281.0,328.0,14.329
2,city=Pune && dayType=FRIDAY,yes,30.0,179.4,209.4,14.325
2,dayType=WEEKEND && zone=141,yes,30.0,179.4,209.4,14.325
2,dayType=FRIDAY && source=ios,both,160.0,957.0,1117.0,14.324
2,estimated_usage_bins=GT_4_LTE_6_HOURS && zone_demand_popularity=POPULARITY_INDEX_5,both,40.0,240.0,280.0,14.286
2,estimated_usage_bins=GT_1_LTE_2_HOURS && source=ios,both,211.0,1267.0,1478.0,14.276
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=EARLY,both,45.0,271.0,316.0,14.241
2,pickUpHourOfDay=EVENING && zone_demand_popularity=POPULARITY_INDEX_4,both,102.0,615.0,717.0,14.226
